batch_id,announcement_id,stock_code,stock_name,title,publish_time,announcement_type_raw,announcement_type,action,need_ai,need_pdf,pre_score,matched_keywords,event_type,primary_theme_id,primary_theme_name,secondary_theme_id,secondary_theme_name,trade_priority,final_score,risk_flags,signal_direction,risk_priority,pdf_parsed,pdf_unparsed_score_cap,pdf_download_status,pdf_parse_status,pdf_text_length,pdf_extraction_method,related_stocks_count,validation_errors,postprocess_notes,error_tags,processing_status
cninfo_20260614_191450,1225370190,002718.SZ,友邦吊顶,舆情管理制度（2026年修订）,2026-06-15T00:00:00,01010503||010112||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370189,002718.SZ,友邦吊顶,内幕信息知情人登记管理制度（2026年修订）,2026-06-15T00:00:00,01010503||010112||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370188,002718.SZ,友邦吊顶,董事、高级管理人员所持公司股份及其变动管理办法（2026年修订）,2026-06-15T00:00:00,01010503||010112||013199,governance_policy_revision,archive,False,False,8,管理办法,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370187,002718.SZ,友邦吊顶,董事、高级管理人员薪酬管理制度（2026年修订）,2026-06-15T00:00:00,01010503||010112||013105||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370186,002718.SZ,友邦吊顶,关于召开2026年第三次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,shareholder_meeting_notice,archive,False,False,8,临时股东会,shareholder_meeting_notice,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370185,002718.SZ,友邦吊顶,第七届董事会第二次会议决议公告,2026-06-15T00:00:00,01010503||010112||01239901,board_resolution,archive,False,False,15,董事会第,board_resolution,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370184,000828.SZ,东莞控股,公司董事、高级管理人员薪酬管理制度,2026-06-15T00:00:00,01010503||010112||013105||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370183,000828.SZ,东莞控股,公司债券募集资金管理制度,2026-06-15T00:00:00,01010503||010112||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370182,000828.SZ,东莞控股,关于召开2026年第二次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,shareholder_meeting_notice,archive,False,False,8,临时股东会,shareholder_meeting_notice,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370181,000828.SZ,东莞控股,第九届董事会第三次会议决议公告,2026-06-15T00:00:00,01010503||010112||01239901,board_resolution,archive,False,False,15,董事会第,board_resolution,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370180,000710.SZ,贝瑞基因,关于聘请2026年度审计机构的公告,2026-06-15T00:00:00,01010503||010112||012301,audit_institution_change,archive,False,False,15,聘请2026年度审计机构,audit_institution_change,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370179,000710.SZ,贝瑞基因,董事、高级管理人员绩效考核与薪酬激励制度,2026-06-15T00:00:00,01010503||010112||012325||013105||013199,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,,,watch,10,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370178,000710.SZ,贝瑞基因,关于提名非独立董事候选人的公告,2026-06-15T00:00:00,01010503||010112||012399,director_candidate_nomination,archive,False,False,15,提名非独立董事候选人,director_candidate_nomination,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370177,000710.SZ,贝瑞基因,关于召开2026年第一次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,shareholder_meeting_notice,archive,False,False,8,临时股东会,shareholder_meeting_notice,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370176,000710.SZ,贝瑞基因,关于将前次股东会未获通过提案再次提交股东会审议的说明公告,2026-06-15T00:00:00,01010503||010112||011999,unclassified,watch,False,False,18,,unclassified,,,,,watch,18,,,,False,,not_required,not_required,0,,1,,,,success
