batch_id,announcement_id,stock_code,stock_name,title,publish_time,announcement_type_raw,announcement_type,action,need_ai,need_pdf,pre_score,matched_keywords,event_type,primary_theme_id,primary_theme_name,trade_priority,final_score,risk_flags,related_stocks_count,validation_errors,postprocess_notes,error_tags,processing_status
cninfo_20260614_173054,1225370182,000828.SZ,东莞控股,关于召开2026年第二次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370181,000828.SZ,东莞控股,第九届董事会第三次会议决议公告,2026-06-15T00:00:00,01010503||010112||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370180,000710.SZ,贝瑞基因,关于聘请2026年度审计机构的公告,2026-06-15T00:00:00,01010503||010112||012301,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
cninfo_20260614_173054,1225370179,000710.SZ,贝瑞基因,董事、高级管理人员绩效考核与薪酬激励制度,2026-06-15T00:00:00,01010503||010112||012325||013105||013199,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370178,000710.SZ,贝瑞基因,关于提名非独立董事候选人的公告,2026-06-15T00:00:00,01010503||010112||012399,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
cninfo_20260614_173054,1225370177,000710.SZ,贝瑞基因,关于召开2026年第一次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370176,000710.SZ,贝瑞基因,关于将前次股东会未获通过提案再次提交股东会审议的说明公告,2026-06-15T00:00:00,01010503||010112||011999,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
cninfo_20260614_173054,1225370175,000710.SZ,贝瑞基因,第十届董事会第二十三次会议决议公告,2026-06-15T00:00:00,01010503||010112||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370174,002182.SZ,宝武镁业,宝武镁业董事及高级管理人员薪酬管理制度（2026年6月）,2026-06-15T00:00:00,01010503||010112||013105||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,watch,8,,1,,,,success
cninfo_20260614_173054,1225370173,002182.SZ,宝武镁业,关于召开2026年第一次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
