theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
ai,人工智能,931071.CSI,159243.SZ,创业板人工智能ETF招商,创业板人工智能指数收益率,keyword:人工智能,20260105
ai,人工智能,931071.CSI,589110.SH,科创人工智能ETF国泰,上证科创板人工智能指数收益率,keyword:人工智能,20251015
ai,人工智能,931071.CSI,589560.SH,科创人工智能ETF汇添富,上证科创板人工智能指数收益率,keyword:人工智能,20250905
ai,人工智能,931071.CSI,589090.SH,科创AIETF鹏华,上证科创板人工智能指数收益率,keyword:人工智能,20250827
ai,人工智能,931071.CSI,159242.SZ,创业板人工智能ETF大成,创业板人工智能指数收益率,keyword:人工智能,20250724
ai,人工智能,931071.CSI,159248.SZ,人工智能ETF万家,中证人工智能主题指数收益率,keyword:人工智能,20250724
ai,人工智能,931071.CSI,589380.SH,科创AIETF富国,上证科创板人工智能指数收益率,keyword:人工智能,20250701
ai,人工智能,931071.CSI,589010.SH,科创人工智能ETF华夏,上证科创板人工智能指数收益率,keyword:人工智能,20250409
ai,人工智能,931071.CSI,589520.SH,科创人工智能ETF华宝,上证科创板人工智能指数收益率,keyword:人工智能,20250313
ai,人工智能,931071.CSI,588730.SH,科创人工智能ETF易方达,上证科创板人工智能指数收益率,keyword:人工智能,20250124
chip,芯片,H30007.CSI,589100.SH,科创芯片ETF国泰,上证科创板芯片指数收益率,keyword:芯片,20250407
chip,芯片,H30007.CSI,588810.SH,科创芯片ETF富国,上证科创板芯片指数收益率,keyword:芯片,20250109
chip,芯片,H30007.CSI,588750.SH,科创芯片ETF汇添富,上证科创板芯片指数收益率,keyword:芯片,20241226
chip,芯片,H30007.CSI,588780.SH,科创芯片设计ETF国联安,上证科创板芯片设计主题指数,keyword:芯片,20241226
chip,芯片,H30007.CSI,588990.SH,科创芯片ETF博时,上证科创板芯片指数收益率,keyword:芯片,20240816
chip,芯片,H30007.CSI,159599.SZ,芯片ETF东财,中证芯片产业指数收益率,keyword:芯片,20240508
chip,芯片,H30007.CSI,159310.SZ,芯片ETF天弘,中证芯片产业指数收益率,keyword:芯片,20240430
chip,芯片,H30007.CSI,588890.SH,科创芯片ETF南方,上证科创板芯片指数收益率,keyword:芯片,20240423
chip,芯片,H30007.CSI,588290.SH,科创芯片ETF华安,上证科创板芯片指数收益率,keyword:芯片,20221026
chip,芯片,H30007.CSI,588200.SH,科创芯片ETF嘉实,上证科创板芯片指数收益率,keyword:芯片,20221026
dividend,红利,000922.CSI,563980.SH,800红利低波ETF鑫元,中证800红利低波动指数收益率,keyword:红利,20251107
dividend,红利,000922.CSI,159117.SZ,港股通红利低波ETF鹏华,标普港股通低波红利指数收益率(经汇率调整后),keyword:红利,20251017
dividend,红利,000922.CSI,563890.SH,国企红利ETF创金合信,中证国有企业红利指数收益率,keyword:红利,20251017
dividend,红利,000922.CSI,563690.SH,红利低波ETF永赢,中证红利低波动指数收益率,keyword:红利,20251010
dividend,红利,000922.CSI,560570.SH,A500红利ETF国联安,中证A500红利低波动指数收益率,keyword:红利,20250918
dividend,红利,000922.CSI,561680.SH,A500红利低波ETF平安,中证A500红利低波动指数收益率,keyword:红利,20250905
dividend,红利,000922.CSI,159296.SZ,A500红利低波ETF华宝,中证A500红利低波动指数收益率,keyword:红利,20250904
dividend,红利,000922.CSI,159281.SZ,港股央企红利ETF天弘,中证港股通央企红利指数收益率(经估值汇率调整),keyword:红利,20250902
dividend,红利,000922.CSI,159277.SZ,港股通红利ETF富国,中证港股通高股息投资指数收益率(使用估值汇率折算),keyword:股息,20250814
dividend,红利,000922.CSI,159266.SZ,港股央企红利ETF永赢,中证港股通央企红利指数收益率(按照估值汇率折算),keyword:红利,20250801
