theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
dividend,红利,000922.CSI,515460.SH,红利质量ETF南方,中证全指红利质量指数收益率,keyword:红利,20260316
dividend,红利,000922.CSI,560370.SH,红利质量ETF易方达,中证全指红利质量指数收益率,keyword:红利,20260226
dividend,红利,000922.CSI,520610.SH,港股红利低波ETF银华,标普港股通低波红利指数收益率(经估值汇率调整),keyword:红利,20260209
dividend,红利,000922.CSI,159143.SZ,港股通央企红利ETF平安,恒生港股通中国央企红利指数收益率(经汇率调整),keyword:红利,20260112
dividend,红利,000922.CSI,520810.SH,港股通红利ETF易方达,中证港股通高股息投资指数收益率(使用估值汇率折算),keyword:股息,20260112
dividend,红利,000922.CSI,159118.SZ,港股通红利低波ETF华夏,经估值汇率调整后的标普港股通低波红利指数收益率,keyword:红利,20251127
dividend,红利,000922.CSI,563510.SH,A500红利低波ETF易方达,中证A500红利低波动指数收益率,keyword:红利,20251201
dividend,红利,000922.CSI,159127.SZ,港股通红利ETF南方,中证港股通高股息投资指数(经估值汇率调整后)收益率,keyword:股息,20251120
dividend,红利,000922.CSI,563590.SH,A500红利低波动ETF国寿,中证A500红利低波动指数收益率,keyword:红利,20251105
finance,金融,000934.SH,159016.SZ,证券ETF广发,同期中证证券公司30指数收益率,keyword:证券,20260514
finance,金融,000934.SH,159008.SZ,证券ETF景顺,中证全指证券公司指数收益率,keyword:证券,20260428
finance,金融,000934.SH,560400.SH,证券ETF华泰柏瑞,中证全指证券公司指数收益率,keyword:证券,20260319
finance,金融,000934.SH,159253.SZ,银行ETF博时,中证银行指数收益率,keyword:银行,20251208
finance,金融,000934.SH,563570.SH,金融科技ETF兴业,中证金融科技主题指数收益率,keyword:金融,20251111
finance,金融,000934.SH,159260.SZ,证券ETF博时,中证全指证券公司指数收益率,keyword:证券,20251104
finance,金融,000934.SH,563670.SH,金融科技ETF鹏华,中证金融科技主题指数收益率,keyword:金融,20251014
finance,金融,000934.SH,515720.SH,金融科技ETF富国,中证金融科技主题指数收益率,keyword:金融,20251009
finance,金融,000934.SH,159299.SZ,金融科技ETF易方达,中证金融科技主题指数收益率,keyword:金融,20250911
finance,金融,000934.SH,159103.SZ,金融科技ETF汇添富,中证金融科技主题指数收益率,keyword:金融,20250910
robot,机器人,H30590.CSI,159278.SZ,机器人ETF鹏华,国证机器人产业指数收益率,keyword:机器人,20250812
robot,机器人,H30590.CSI,159213.SZ,机器人ETF汇添富,中证机器人指数收益率,keyword:机器人,20250430
robot,机器人,H30590.CSI,560630.SH,机器人ETF万家,中证机器人指数收益率,keyword:机器人,20250401
pharma,创新药,931152.CSI,159297.SZ,港股通创新药ETF南方,国证港股通创新药指数(经估值汇率调整后)收益率,keyword:创新药,20250922
pharma,创新药,931152.CSI,589120.SH,科创创新药ETF汇添富,上证科创板创新药指数收益率,keyword:创新药,20250919
pharma,创新药,931152.CSI,159286.SZ,港股通创新药ETF鹏华,国证港股通创新药指数收益率(经汇率调整后),keyword:创新药,20250902
pharma,创新药,931152.CSI,520970.SH,港股通创新药ETF嘉实,中证港股通创新药指数收益率(经估值汇率调整后),keyword:创新药,20250807
pharma,创新药,931152.CSI,589720.SH,科创创新药ETF国泰,上证科创板创新药指数收益率,keyword:创新药,20250801
consumer,消费,000932.SH,159178.SZ,消费电子ETF汇添富,国证消费电子主题指数收益率,keyword:消费,20260428
consumer,消费,000932.SH,159285.SZ,港股通消费ETF华安,国证港股通消费主题指数收益率(经汇率调整),keyword:消费,20251020
consumer,消费,000932.SH,520620.SH,恒生消费ETF嘉实,经估值汇率调整后的恒生消费指数收益率,keyword:消费,20250819
consumer,消费,000932.SH,159268.SZ,港股通消费ETF汇添富,国证港股通消费主题指数收益率(经估值汇率调整后),keyword:消费,20250721
consumer,消费,000932.SH,159265.SZ,港股消费ETF鹏华,国证港股通消费主题指数收益率(经汇率调整后),keyword:消费,20250702
consumer_electronics,消费电子,931494.CSI,159178.SZ,消费电子ETF汇添富,国证消费电子主题指数收益率,keyword:消费电子,20260428
metal,有色金属,000819.SH,159157.SZ,有色金属ETF天弘,中证工业有色金属主题指数收益率,keyword:有色金属,20260206
metal,有色金属,000819.SH,159163.SZ,有色ETF泰康,中证有色金属矿业主题指数收益率,keyword:有色金属,20260209
metal,有色金属,000819.SH,560290.SH,有色ETF景顺,中证有色金属矿业主题指数收益率,keyword:有色金属,20260206
metal,有色金属,000819.SH,159162.SZ,工业有色ETF鹏华,中证工业有色金属主题指数收益率,keyword:有色金属,20260129
metal,有色金属,000819.SH,560860.SH,工业有色ETF万家,中证工业有色金属主题指数收益率,keyword:有色金属,20230313
healthcare,医药,000933.SH,526010.SH,港股通医疗ETF汇添富,中证港股通医疗主题指数(港元)收益率,keyword:医疗,20260417
healthcare,医药,000933.SH,159167.SZ,港股通医疗ETF工银,经汇率调整后的中证港股通医疗主题指数收益率,keyword:医疗,20260212
healthcare,医药,000933.SH,520850.SH,港股通医疗ETF易方达,中证港股通医疗主题指数收益率(使用估值汇率折算),keyword:医疗,20260119
healthcare,医药,000933.SH,159137.SZ,港股通医疗ETF华宝,经人民币汇率调整的中证港股通医疗主题指数收益率,keyword:医疗,20260112
healthcare,医药,000933.SH,520510.SH,港股通医疗ETF华夏,中证港股通医疗主题指数收益率(经估值汇率调整后),keyword:医疗,20250807
hktech,港股科技,HSTECH.HI,520590.SH,恒生科技ETF鹏华,恒生科技指数收益率(经汇率调整后),keyword:恒生科技,20251201
hktech,港股科技,HSTECH.HI,520570.SH,恒生科技ETF南方,经汇率调整后的恒生科技指数收益率,keyword:恒生科技,20251117
hktech,港股科技,HSTECH.HI,520920.SH,恒生科技ETF天弘,恒生科技指数收益率(经估值汇率调整),keyword:恒生科技,20250930
hktech,港股科技,HSTECH.HI,513260.SH,恒生科技ETF汇添富,经人民币汇率调整的恒生科技指数收益率,keyword:恒生科技,20220913
hktech,港股科技,HSTECH.HI,513380.SH,恒生科技ETF广发,人民币计价的恒生科技指数收益率,keyword:恒生科技,20220512
compute,算力基础设施,931865.CSI,589020.SH,科创半导体设备ETF鹏华,上证科创板半导体材料设备主题指数收益率,keyword:半导,20250904
compute,算力基础设施,931865.CSI,588710.SH,科创半导体设备ETF华泰柏瑞,上证科创板半导体材料设备主题指数收益率,keyword:半导,20250604
compute,算力基础设施,931865.CSI,588170.SH,科创半导体ETF华夏,上证科创板半导体材料设备主题指数收益率,keyword:半导,20250408
compute,算力基础设施,931865.CSI,159327.SZ,半导体设备ETF万家,中证半导体材料设备主题指数收益率,keyword:半导,20240805
compute,算力基础设施,931865.CSI,513310.SH,中韩半导体ETF华泰柏瑞,中证韩交所中韩半导体指数收益率,keyword:半导,20221222
