theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
chip,芯片,H30007.CSI,159599.SZ,芯片ETF东财,中证芯片产业指数收益率,keyword:芯片,20240508
chip,芯片,H30007.CSI,159310.SZ,芯片ETF天弘,中证芯片产业指数收益率,keyword:芯片,20240430
chip,芯片,H30007.CSI,588890.SH,科创芯片ETF南方,上证科创板芯片指数收益率,keyword:芯片,20240423
chip,芯片,H30007.CSI,159560.SZ,芯片ETF景顺,中证芯片产业指数收益率,keyword:芯片,20231120
chip,芯片,H30007.CSI,501225.SH,全球芯片LOF,费城半导体指数收益率(PHLX Semiconductor Sector Index)(使用估值汇率调整)*75%+中证芯片产业指数收益率*15%+人民币活期存款利率(税后)*10%,keyword:芯片,20230414
chip,芯片,H30007.CSI,159665.SZ,半导体龙头ETF工银,国证半导体芯片指数收益率,keyword:芯片,20230106
chip,芯片,H30007.CSI,588290.SH,科创芯片ETF华安,上证科创板芯片指数收益率,keyword:芯片,20221026
chip,芯片,H30007.CSI,588200.SH,科创芯片ETF嘉实,上证科创板芯片指数收益率,keyword:芯片,20221026
chip,芯片,H30007.CSI,516350.SH,芯片ETF易方达,中证芯片产业指数收益率,keyword:芯片,20211223
chip,芯片,H30007.CSI,516640.SH,芯片ETF富国,中证芯片产业指数收益率,keyword:芯片,20210827
chip,芯片,H30007.CSI,516920.SH,芯片ETF汇添富,中证芯片产业指数收益率,keyword:芯片,20210816
chip,芯片,H30007.CSI,159813.SZ,半导体ETF鹏华,国证半导体芯片指数收益率,keyword:芯片,20200525
chip,芯片,H30007.CSI,159801.SZ,芯片ETF广发,国证半导体芯片指数收益率,keyword:芯片,20200218
chip,芯片,H30007.CSI,159995.SZ,芯片ETF华夏,国证半导体芯片指数收益率,keyword:芯片,20200210
chip,芯片,H30007.CSI,512760.SH,芯片ETF国泰,中华交易服务半导体芯片行业指数收益率,keyword:芯片,20190612
semiconductor,半导体,H30184.CSI,589020.SH,科创半导体设备ETF鹏华,上证科创板半导体材料设备主题指数收益率,keyword:半导体,20250904
semiconductor,半导体,H30184.CSI,588710.SH,科创半导体设备ETF华泰柏瑞,上证科创板半导体材料设备主题指数收益率,keyword:半导体,20250604
semiconductor,半导体,H30184.CSI,588170.SH,科创半导体ETF华夏,上证科创板半导体材料设备主题指数收益率,keyword:半导体,20250408
semiconductor,半导体,H30184.CSI,159325.SZ,半导体ETF南方,中证半导体行业精选指数收益率,keyword:半导体,20241108
semiconductor,半导体,H30184.CSI,159327.SZ,半导体设备ETF万家,中证半导体材料设备主题指数收益率,keyword:半导体,20240805
semiconductor,半导体,H30184.CSI,159558.SZ,半导体设备ETF易方达,中证半导体材料设备主题指数收益率,keyword:半导体,20240618
semiconductor,半导体,H30184.CSI,159582.SZ,半导体ETF博时,中证半导体产业指数收益率,keyword:半导体,20240416
semiconductor,半导体,H30184.CSI,560780.SH,半导体设备ETF广发,中证半导体材料设备主题指数收益率,keyword:半导体,20231212
semiconductor,半导体,H30184.CSI,562590.SH,半导体设备ETF华夏,中证半导体材料设备主题指数收益率,keyword:半导体,20231018
semiconductor,半导体,H30184.CSI,561980.SH,半导体设备ETF招商,中证半导体产业指数收益率,keyword:半导体,20230901
semiconductor,半导体,H30184.CSI,159516.SZ,半导体设备ETF国泰,中证半导体材料设备主题指数收益率,keyword:半导体,20230727
semiconductor,半导体,H30184.CSI,501225.SH,全球芯片LOF,费城半导体指数收益率(PHLX Semiconductor Sector Index)(使用估值汇率调整)*75%+中证芯片产业指数收益率*15%+人民币活期存款利率(税后)*10%,keyword:半导体,20230414
semiconductor,半导体,H30184.CSI,159665.SZ,半导体龙头ETF工银,国证半导体芯片指数收益率,keyword:半导体,20230106
semiconductor,半导体,H30184.CSI,513310.SH,中韩半导体ETF华泰柏瑞,中证韩交所中韩半导体指数收益率,keyword:半导体,20221222
semiconductor,半导体,H30184.CSI,159813.SZ,半导体ETF鹏华,国证半导体芯片指数收益率,keyword:半导体,20200525
semiconductor,半导体,H30184.CSI,159801.SZ,芯片ETF广发,国证半导体芯片指数收益率,keyword:半导体,20200218
