theme_id,theme_name,etf_code,etf_name,benchmark,list_date
robot,机器人,159559.SZ,机器人ETF景顺,国证机器人产业指数收益率,2023-12-12
satellite,卫星产业,159218.SZ,卫星ETF招商,中证卫星产业指数收益率,2025-05-22
satellite,卫星产业,563230.SH,卫星ETF富国,中证卫星产业指数收益率,2025-09-17
satellite,卫星产业,512630.SH,卫星ETF广发,同期中证卫星产业指数收益率,2025-10-22
satellite,卫星产业,563530.SH,卫星ETF易方达,中证卫星产业指数收益率,2025-11-14
satellite,卫星产业,159206.SZ,卫星ETF永赢,国证商用卫星通信产业指数收益率,2025-03-14
satellite,卫星产业,563790.SH,卫星ETF鹏华,中证卫星产业指数收益率,2026-01-05
ev,新能源车,515030.SH,新能源车ETF华夏,中证新能源汽车指数收益率,2020-03-04
ev,新能源车,159806.SZ,新能源车ETF国泰,中证新能源汽车指数收益率,2020-03-20
ev,新能源车,159824.SZ,新能源车ETF博时,中证新能源汽车指数收益率,2021-01-11
ev,新能源车,516660.SH,新能源车ETF华安,中证新能源汽车指数收益率,2021-02-26
ev,新能源车,159755.SZ,电池ETF广发,国证新能源车电池指数收益率,2021-06-24
ev,新能源车,159183.SZ,新能源车ETF招商,中证新能源汽车指数收益率,2026-03-24
ev,新能源车,160225.SZ,新能源汽车LOF,国证新能源汽车指数收益率*95%+银行活期存款利率(税后)*5%,2016-07-20
ev,新能源车,501057.SH,新能源车LOF,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,2018-06-20
ev,新能源车,501058.SH,新能源车LOFC,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,2018-06-20
ev,新能源车,515700.SH,新能源车ETF平安,中证新能源汽车产业指数收益率,2020-02-10
solar,光伏,159864.SZ,光伏ETF国泰,中证光伏产业指数收益率,2021-08-10
solar,光伏,159618.SZ,光伏ETF华安,中证光伏产业指数收益率,2022-04-22
solar,光伏,560980.SH,光伏龙头ETF广发,中证光伏龙头30指数收益率,2022-11-29
solar,光伏,562970.SH,光伏ETF易方达,中证光伏产业指数收益率,2024-11-07
solar,光伏,515370.SH,光伏ETF华夏,中证光伏产业指数收益率,2025-11-18
solar,光伏,159123.SZ,光伏ETF嘉实,中证光伏产业指数收益率,2025-11-27
solar,光伏,516230.SH,光伏ETF招商,中证光伏产业指数收益率,2026-02-03
solar,光伏,560230.SH,光伏ETF富国,中证光伏产业指数收益率,2026-02-06
solar,光伏,560310.SH,光伏ETF博时,中证光伏产业指数收益率,2026-03-02
solar,光伏,515790.SH,光伏ETF华泰柏瑞,中证光伏产业指数收益率,2020-12-18
power_grid,电网设备,159326.SZ,电网设备ETF华夏,中证电网设备主题指数收益率,2024-09-09
power_grid,电网设备,561380.SH,电网设备ETF国泰,恒生A股电网设备指数收益率,2024-12-23
power_grid,电网设备,159320.SZ,电网设备ETF广发,同期恒生A股电网设备指数收益率,2024-12-24
power_grid,电网设备,560390.SH,电网设备ETF易方达,恒生A股电网设备指数收益率,2026-03-04
battery,电池,159755.SZ,电池ETF广发,国证新能源车电池指数收益率,2021-06-24
battery,电池,562880.SH,电池ETF嘉实,中证电池主题指数收益率,2021-07-20
battery,电池,561910.SH,电池ETF招商,中证电池主题指数收益率,2021-08-12
battery,电池,561160.SH,电池ETF富国,中证电池主题指数收益率,2022-07-08
battery,电池,159566.SZ,储能电池ETF易方达,国证新能源电池指数收益率,2024-02-08
battery,电池,159305.SZ,储能电池ETF广发,国证新能源电池指数同期收益率,2024-09-27
battery,电池,159147.SZ,电池ETF南方,中证电池主题指数收益率,2026-01-23
battery,电池,159175.SZ,电池ETF易方达,中证电池主题指数收益率,2026-03-05
battery,电池,512460.SH,电池ETF华夏,中证电池主题指数收益率,2026-03-20
battery,电池,159757.SZ,电池ETF景顺,国证新能源车电池指数收益率,2021-08-09
pharma,创新药,515120.SH,创新药ETF广发,中证创新药产业指数,2021-01-04
pharma,创新药,516080.SH,创新药ETF易方达,中证创新药产业指数收益率,2021-02-23
pharma,创新药,159858.SZ,创新药ETF南方,中证创新药产业指数收益率,2021-03-25
pharma,创新药,517110.SH,创新药ETF国泰,中证沪港深创新药产业指数收益率,2021-09-30
pharma,创新药,159748.SZ,创新药ETF富国,中证沪港深创新药产业指数收益率,2021-12-03
pharma,创新药,513120.SH,港股创新药ETF广发,中证香港创新药指数收益率(人民币计价),2022-07-12
pharma,创新药,520690.SH,港股创新药ETF博时,恒生港股通创新药精选指数收益率(经估值汇率调整后),2025-08-01
pharma,创新药,159992.SZ,创新药ETF银华,中证创新药产业指数,2020-04-10
pharma,创新药,516060.SH,创新药ETF工银,中证创新药产业指数收益率,2021-03-01
pharma,创新药,159835.SZ,创新药ETF建信,中证创新药产业指数收益率,2021-03-29
medtech,医疗器械,159898.SZ,医疗器械ETF招商,中证全指医疗器械指数收益率,2021-06-04
medtech,医疗器械,562600.SH,医疗器械ETF华夏,中证全指医疗器械指数收益率,2023-12-11
medtech,医疗器械,159883.SZ,医疗器械ETF永赢,中证全指医疗器械指数收益率,2021-04-30
medtech,医疗器械,516820.SH,医疗创新ETF平安,中证医药及医疗器械创新指数收益率,2021-07-01
medtech,医疗器械,159797.SZ,医疗器械ETF汇添富,中证全指医疗器械指数收益率,2022-05-16
healthcare,医药,510660.SH,医药ETF华夏,上证医药卫生行业指数,2013-05-08
healthcare,医药,512010.SH,医药ETF易方达,沪深300医药卫生指数,2013-10-28
healthcare,医药,512120.SH,医药ETF华安,中证细分医药产业主题指数收益率,2014-01-06
healthcare,医药,159938.SZ,医药ETF广发,中证全指医药卫生指数,2015-01-08
healthcare,医药,512290.SH,生物医药ETF国泰,中证生物医药指数收益率,2019-05-20
healthcare,医药,515950.SH,医药50ETF富国,中证医药50指数收益率,2020-04-01
healthcare,医药,515960.SH,医药ETF嘉实,中证医药健康100策略指数收益率,2020-06-10
healthcare,医药,159828.SZ,医疗ETF国泰,中证医疗指数收益率,2021-01-12
healthcare,医药,159898.SZ,医疗器械ETF招商,中证全指医疗器械指数收益率,2021-06-04
healthcare,医药,159847.SZ,医疗ETF易方达,中证医疗指数收益率,2021-07-19
defense,军工,512660.SH,军工ETF国泰,中证军工指数收益率,2016-08-08
defense,军工,512680.SH,军工ETF广发,中证军工指数收益率,2016-10-14
defense,军工,512560.SH,军工ETF易方达,中证军工指数,2017-07-28
defense,军工,512710.SH,军工龙头ETF富国,中证军工龙头指数收益率,2019-08-26
defense,军工,502003.SH,军工LOF,中证军工指数收益率*95%+同期银行活期存款利率(税后)*5%,2015-07-15
defense,军工,512810.SH,军工ETF华宝,中证军工指数,2016-08-22
defense,军工,501019.SH,军工基金LOF,国证航天军工指数收益率*95%+银行活期存款利率(税后)*5%,2017-04-21
defense,军工,160643.SZ,空天军工LOF,中证空天一体军工指数收益率*95%+银行活期存款利率(税后)*5%,2017-06-20
defense,军工,512670.SH,国防ETF鹏华,中证国防指数收益率,2019-08-01
defense,军工,160630.SZ,国防LOF,中证国防指数收益率*95%+商业银行活期存款利率(税后)*5%,2021-01-18
consumer,消费,510150.SH,消费ETF招商,上证消费80指数,2011-02-25
consumer,消费,510630.SH,消费ETF华夏,上证主要消费行业指数,2013-05-08
consumer,消费,159936.SZ,可选消费ETF广发,中证全指可选消费指数,2014-06-25
consumer,消费,512600.SH,消费ETF嘉实,中证主要消费指数收益率,2014-07-25
consumer,消费,515650.SH,消费50ETF富国,中证消费50指数收益率,2019-11-11
consumer,消费,160127.SZ,南方消费LOF,中证内地消费主题指数收益率*55%+中证港股通主要消费综合指数(人民币)收益率*30%+中证综合债指数收益率*15%,2020-11-30
consumer,消费,515920.SH,智能消费ETF博时,中证智能消费主题指数,2021-01-20
consumer,消费,159732.SZ,消费电子ETF华夏,国证消费电子主题指数收益率,2021-08-23
consumer,消费,561310.SH,消电ETF国泰,中证消费电子主题指数收益率,2021-11-25
consumer,消费,159779.SZ,消费电子ETF招商,中证消费电子主题指数收益率,2021-11-26
liquor,白酒,512690.SH,酒ETF鹏华,中证酒指数收益率,2019-05-06
liquor,白酒,161725.SZ,白酒基金LOF,中证白酒指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,2021-01-15
liquor,白酒,160632.SZ,酒LOF,中证酒指数收益率*95%+商业银行活期存款利率(税后)*5%,2021-01-18
finance,金融,510230.SH,金融ETF国泰,上证180金融股指数,2011-05-23
finance,金融,510650.SH,金融地产ETF华夏,上证金融地产行业指数,2013-05-08
finance,金融,512070.SH,证券保险ETF易方达,沪深300非银行金融指数,2014-07-18
finance,金融,512640.SH,金融地产ETF嘉实,中证金融地产指数收益率,2014-07-25
finance,金融,511810.SH,货币ETF南方,同期中国人民银行公布的七天通知存款利率(税后),2015-01-05
finance,金融,159940.SZ,金融地产ETF广发,中证全指金融地产指数,2015-04-17
finance,金融,161722.SZ,招商丰泰LOF,中国人民银行公布金融机构人民币一年期存款基准利率+3%(单利年化),2015-07-22
finance,金融,511960.SH,货币ETF嘉实,按中国人民银行公布币活期存款利率(税后),2016-01-11
finance,金融,512880.SH,证券ETF国泰,中证全指证券公司指数收益率,2016-08-08
finance,金融,512900.SH,证券ETF南方,中证全指证券公司指数收益率,2017-03-31
dividend,红利,515300.SH,300红利低波ETF嘉实,沪深300红利低波动指数收益率,2019-09-19
dividend,红利,515180.SH,红利ETF易方达,中证红利指数收益率,2019-12-20
dividend,红利,515080.SH,中证红利ETF招商,中证红利指数收益率,2019-12-27
dividend,红利,515450.SH,红利低波50ETF南方,标普中国A股大盘红利低波50指数收益率,2020-02-26
dividend,红利,515890.SH,红利ETF博时,中证红利指数收益率,2020-04-20
dividend,红利,513690.SH,港股红利ETF博时,恒生港股通高股息率指数收益率(经估值汇率调整后),2021-05-20
dividend,红利,159758.SZ,红利质量ETF华夏,中证红利质量指数收益率,2021-12-28
